type,Mã trạm/LakeCode,Trạm/Hồ,Tên sông/Lưu vực,Tên tỉnh,Thời gian (UTC),Mực nước (m),Cảnh báo/Xu thế,Cảnh báo value (0-4),Chênh lệch cảnh báo (m),BĐ1 (m),BĐ2 (m),BĐ3 (m),Mực nước lịch sử (m),Năm lũ lịch sử,x,y,Dung tích (m3),Dung tích TK (m3),Tỷ lệ dung tích (%),Q đến (m3/s),Q xả (m3/s),Mực nước BT (m),Mực nước GC (m),Mã Cảnh báo,province_code,basin_code
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-13 19:00,202.61,Xuong,,,,,,,,108.230063,13.637508,207.13002,200.0,103.56501,54.66,79.49,205.15,209.92,01,64,01
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-14 19:00,202.54,BinhThuong,,,,,,,,108.230063,13.637508,204.819778,200.0,102.409889,41.8,11.62,205.15,209.92,01,64,01
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-15 19:00,202.65,Len,,,,,,,,108.230063,13.637508,208.4498,200.0,104.2249,93.9,11.79,205.15,209.92,01,64,01
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-16 19:00,202.65,Len,,,,,,,,108.230063,13.637508,208.4498,200.0,104.2249,122.78,55.95,205.15,209.92,01,64,01
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-17 19:00,202.97,Len,,,,,,,,108.230063,13.637508,219.01004,200.0,109.50502,201.19,119.08,205.15,209.92,01,64,01
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-18 19:00,203.07,Len,,,,,,,,108.230063,13.637508,222.310242,200.0,111.155121,200.94,118.83,205.15,209.92,01,64,01
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-19 07:00,203.2,Len,,,,,,,,108.230063,13.637508,226.5999,200.0,113.29995,338.81,134.48,205.15,209.92,01,64,01
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-13 23:55,212.989,Xuong,,,,,,,,108.78018371035715,13.297809787494792,46.4608345,48.64,95.52,6.56,3.22,215.0,215.9,01,64,01
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-14 23:55,213.015,Xuong,,,,,,,,108.78018371035715,13.297809787494792,46.5559464,48.64,95.72,6.81,0.0,215.0,215.9,01,64,01
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-15 23:55,213.045,BinhThuong,,,,,,,,108.78018371035715,13.297809787494792,46.6678429,48.64,95.95,6.02,4.2,215.0,215.9,01,64,01
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-16 23:55,212.667,Xuong,,,,,,,,108.78018371035715,13.297809787494792,45.3145447,48.64,93.16,25.27,68.83,215.0,215.9,01,64,01
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-17 23:55,212.371,Xuong,,,,,,,,108.78018371035715,13.297809787494792,44.2607651,48.64,91.0,15.1,13.6,215.0,215.9,01,64,01
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-18 23:55,214.104,Len,,,,,,,,108.78018371035715,13.297809787494792,50.6408157,48.64,104.113518,384.27,150.78,215.0,215.9,01,64,01
Lake,73bb8be6-bbd6-4042-8360-30abdced336a,Ia MLá,Ba,Gia Lai,2025-11-19 10:45,215.37,Xuong,,,,,,,,108.78018371035715,13.297809787494792,55.730278,48.64,114.58,527.18,565.34,215.0,215.9,03,64,01
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-13 13:00,512.41,Len,,,,,,,,108.4958743195198,14.282291761568924,273.128357,313.7,87.07,,150.0,515.0,,01,64,01
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-14 17:00,512.59,BinhThuong,,,,,,,,108.4958743195198,14.282291761568924,275.9516,313.7,87.97,,150.0,515.0,,01,64,01
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-15 17:00,512.66,BinhThuong,,,,,,,,108.4958743195198,14.282291761568924,277.04837,313.7,88.32,,150.0,515.0,,01,64,01
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-16 23:00,514.11,Len,,,,,,,,108.4958743195198,14.282291761568924,299.784546,313.7,95.56,,27.04,515.0,,01,64,01
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-17 23:00,514.98,BinhThuong,,,,,,,,108.4958743195198,14.282291761568924,313.4261,313.7,99.91,,180.0,515.0,,01,64,01
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-18 23:00,515.0,BinhThuong,,,,,,,,108.4958743195198,14.282291761568924,313.74,313.7,100.01,,450.0,515.0,,01,64,01
Lake,4AB3F3C8-D7F4-44AA-897C-E93BDCFA1DCC,Kanak,Ba,Gia Lai,2025-11-19 10:00,514.99,BinhThuong,,,,,,,,108.4958743195198,14.282291761568924,313.583038,313.7,99.96,,400.0,515.0,,01,64,01
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-13 20:00,104.79,BinhThuong,,,,,,,,108.89860571809233,13.023980033712725,339.870453,349.7,97.19,,300.0,105.0,105.96,01,54,01
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-14 23:00,104.34,Xuong,,,,,,,,108.89860571809233,13.023980033712725,318.828217,349.7,91.17,,300.0,105.0,105.96,01,54,01
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-15 21:00,103.43,Xuong,,,,,,,,108.89860571809233,13.023980033712725,276.2768,349.7,79.0,,600.0,105.0,105.96,01,54,01
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-16 23:00,103.0,BinhThuong,,,,,,,,108.89860571809233,13.023980033712725,256.17,349.7,73.25,,2000.0,105.0,105.96,01,54,01
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-17 23:00,103.0,BinhThuong,,,,,,,,108.89860571809233,13.023980033712725,256.17,349.7,73.25,,2500.0,105.0,105.96,01,54,01
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-18 23:00,103.67,Len,,,,,,,,108.89860571809233,13.023980033712725,287.4991,349.7,82.21,,5400.0,105.0,105.96,01,54,01
Lake,7D5B7DB0-D64A-4A36-BD4E-54A95CA62E9D,Sông Ba Hạ,Ba,Đắk Lắk,2025-11-19 10:00,104.99,BinhThuong,,,,,,,,108.89860571809233,13.023980033712725,349.2223,349.7,99.86,,10800.0,105.0,105.96,01,54,01
Lake,D0C28BB9-FE47-4BC2-B0DB-445038C1D1C5,Sông Hinh,Ba,Đắk Lắk,2025-11-13 19:00,205.63,BinhThuong,,,,,,,,108.9658325275859,12.881268988998505,23.756,357.0,6.65,80.0,0.0,209.0,,01,54,04
